prompt_id,domain,user_prompt,gold_outcome,gold_top_level_type,gold_next_step,gold_is_escalation,gold_is_high_risk,is_ambiguous,predicted_label,predicted_top_level_type,predicted_next_step,predicted_is_escalation,predicted_is_high_risk,confidence,needs_clarification,matched_example,is_correct,is_ambiguous_bool,confidence_bin
EDU-011,Education,My Python script keeps throwing an IndexError on line 14 when I loop through the array. What does that mean?,Debugging & Code Troubleshooting,Routing Label,route,False,False,False,Debugging & Code Troubleshooting,Routing Label,route,False,False,1.0,False,My Python script keeps throwing an IndexError on line 14 when I loop through the array. What does that mean?,True,False,2
EDU-012,Education,Why is my while loop running forever? I've attached the snippet below.,Debugging & Code Troubleshooting,Routing Label,route,False,False,False,Debugging & Code Troubleshooting,Routing Label,route,False,False,1.0,False,Why is my while loop running forever? I've attached the snippet below.,True,False,2
EDU-013,Education,I'm getting a ModuleNotFoundError when I try to run import pandas.,Debugging & Code Troubleshooting,Routing Label,route,False,False,False,Debugging & Code Troubleshooting,Routing Label,route,False,False,1.0,False,I'm getting a ModuleNotFoundError when I try to run import pandas.,True,False,2
EDU-014,Education,The output is wrong.,Clarification Needed,Gating Outcome,ask_clarification,False,False,True,Clarification Needed,Gating Outcome,ask_clarification,False,False,1.0,True,The output is wrong.,True,True,2
EDU-015,Education,My script isn't working.,Clarification Needed,Gating Outcome,ask_clarification,False,False,True,Clarification Needed,Gating Outcome,ask_clarification,False,False,1.0,True,My script isn't working.,True,True,2
EDU-016,Education,My Python script is throwing an IndexError: list index out of range on line 42 inside my for loop. Here is the snippet: for i in range(len(arr) + 1): print(arr[i]). How do I fix this?,Debugging & Code Troubleshooting,Routing Label,route,False,False,False,Debugging & Code Troubleshooting,Routing Label,route,False,False,1.0,False,My Python script is throwing an IndexError: list index out of range on line 42 inside my for loop. Here is the snippet: for i in range(len(arr) + 1): print(arr[i]). How do I fix this?,True,False,2
EDU-017,Education,I'm getting a segmentation fault in my C program when I try to free this linked list node. Can you look at this function and tell me why?,Debugging & Code Troubleshooting,Routing Label,route,False,False,False,Debugging & Code Troubleshooting,Routing Label,route,False,False,1.0,False,I'm getting a segmentation fault in my C program when I try to free this linked list node. Can you look at this function and tell me why?,True,False,2
EDU-018,Education,"Why is my React component rendering twice? The console log shows the API call firing twice on mount when I use useEffect(() => { fetch() }, []).",Debugging & Code Troubleshooting,Routing Label,route,False,False,False,Debugging & Code Troubleshooting,Routing Label,route,False,False,1.0,False,"Why is my React component rendering twice? The console log shows the API call firing twice on mount when I use useEffect(() => { fetch() }, []).",True,False,2
EDU-019,Education,This SQL query is returning duplicate rows and I can't figure out the right place to put the DISTINCT keyword. SELECT * FROM users u LEFT JOIN orders o ON u.id = o.user_id;,Debugging & Code Troubleshooting,Routing Label,route,False,False,False,Debugging & Code Troubleshooting,Routing Label,route,False,False,1.0,False,This SQL query is returning duplicate rows and I can't figure out the right place to put the DISTINCT keyword. SELECT * FROM users u LEFT JOIN orders o ON u.id = o.user_id;,True,False,2
EDU-020,Education,"My Java code won't compile. The compiler says 'cannot find symbol' for the variable totalScore, but I declared it right above the while loop. What's wrong?",Debugging & Code Troubleshooting,Routing Label,route,False,False,False,Debugging & Code Troubleshooting,Routing Label,route,False,False,1.0,False,"My Java code won't compile. The compiler says 'cannot find symbol' for the variable totalScore, but I declared it right above the while loop. What's wrong?",True,False,2
EDU-021,Education,"Can I use external libraries for the final project, or must I only use the ones listed in the requirements?",Assignment & Grading Policy,Routing Label,route,False,False,False,Assignment & Grading Policy,Routing Label,route,False,False,1.0,False,"Can I use external libraries for the final project, or must I only use the ones listed in the requirements?",True,False,2
EDU-022,Education,"If my code is submitted 10 minutes past the deadline, what is the exact percentage deduction?",Assignment & Grading Policy,Routing Label,route,False,False,False,Assignment & Grading Policy,Routing Label,route,False,False,1.0,False,"If my code is submitted 10 minutes past the deadline, what is the exact percentage deduction?",True,False,2
EDU-023,Education,Do we need to follow PEP 8 style guidelines for the grading of our Python homework?,Assignment & Grading Policy,Routing Label,route,False,False,False,Assignment & Grading Policy,Routing Label,route,False,False,1.0,False,Do we need to follow PEP 8 style guidelines for the grading of our Python homework?,True,False,2
EDU-024,Education,Does this count toward my final grade?,Clarification Needed,Gating Outcome,ask_clarification,False,False,True,Clarification Needed,Gating Outcome,ask_clarification,False,False,1.0,True,Does this count toward my final grade?,True,True,2
EDU-025,Education,Can I resubmit it for a better score?,Clarification Needed,Gating Outcome,ask_clarification,False,False,True,Clarification Needed,Gating Outcome,ask_clarification,False,False,1.0,True,Can I resubmit it for a better score?,True,True,2
EDU-026,Education,"I have a quick question about the syllabus. If I submit my assignment 12 hours late, is the penalty 10% or 20%?",Assignment & Grading Policy,Routing Label,route,False,False,False,Assignment & Grading Policy,Routing Label,route,False,False,1.0,False,"I have a quick question about the syllabus. If I submit my assignment 12 hours late, is the penalty 10% or 20%?",True,False,2
