prompt,actual,baseline_pred,llm_pred,baseline_conf,llm_reason
"""I can't seem to get the Java JDK installed on my Mac, it keeps saying 'command not found'.""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,"The user is having trouble setting up their environment for a course, specifically with installing Java JDK."
"""Where is the zoom link for Professor Smith's Tuesday office hours?""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,"The request is about accessing a course platform or setup, specifically seeking a zoom link for office hours."
"""Is there a recommended IDE for the C++ assignments, or can I just use VS Code?""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,"This request is about choosing an IDE for a specific course assignment, which falls under the category of course logistics and environment setup."
"""I'm having trouble logging into the autograder platform with my student ID.""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,The request is about accessing a specific platform and requires setup or login guidance.
"""What time does the Monday lab section officially start?""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,"The request is about the timing of a course-specific event, which falls under course logistics."
"""How do I configure the virtual environment for the week 3 Python project?""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,"The user is asking about configuring a specific environment for a project, which falls under course logistics."
"""Are the lecture recordings posted on Canvas or Panopto?""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,"The user is asking about the platform used for lecture recordings, which is a common concern for course logistics."
"""The docker container provided for the assignment is crashing on startup for Windows users.""",Course Logistics & Env,Course Logistics & Env,Debugging & Code Troubleshooting,1.0,The request involves a specific issue with a provided container and is focused on troubleshooting and fixing the problem.
"""Will there be office hours held during the upcoming spring break?""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,The request is asking about a specific event or schedule related to the course environment.
"""Which version of Node.js do we need to install for the frontend module?""",Course Logistics & Env,Course Logistics & Env,Course Logistics & Environment Setup,1.0,"The request involves setup and installation of Node.js for a specific module, which is a course logistics question."
"""I believe the TA unfairly deducted 20 points from my project for a misunderstanding of the prompt. I want to appeal this.""",Instructor/TA Escalation,Instructor/TA Escalation,Instructor/TA Escalation,1.0,The request involves a dispute with the instructor/TA and requires direct intervention.
"""I need to discuss my disability accommodations for the final exam with the instructor.""",Instructor/TA Escalation,Instructor/TA Escalation,Instructor/TA Escalation,1.0,This request requires direct human faculty intervention to discuss and accommodate a student's disability needs.
"""Another student in my group has completely stopped responding and hasn't contributed code. How do we handle this for grading?""",Instructor/TA Escalation,Instructor/TA Escalation,Assignment & Grading Policy,1.0,The request is about handling a group member's lack of contribution for grading purposes.
"""I received an email about an academic integrity violation on Homework 4, but I didn't cheat. Who do I talk to?""",Instructor/TA Escalation,Instructor/TA Escalation,Instructor/TA Escalation,1.0,"The user has a specific issue requiring human intervention, a potential academic integrity violation"
"""I am dealing with a severe family emergency and need an incomplete grade for the semester. What is the process?""",Instructor/TA Escalation,Instructor/TA Escalation,Assignment & Grading Policy,1.0,The request is about a specific policy regarding incomplete grades due to a personal circumstance.
"""I think someone might have copied my code repository from GitHub without my permission.""",Instructor/TA Escalation,Instructor/TA Escalation,Instructor/TA Escalation,1.0,The request involves a sensitive and specific issue that requires direct faculty intervention.
"""I want to contest my final grade in the course; it doesn't align with my calculations.""",Instructor/TA Escalation,Instructor/TA Escalation,Instructor/TA Escalation,1.0,The request involves a grade dispute and requires direct human faculty intervention.
"""Can I schedule a private meeting with the professor to discuss a personal issue affecting my coursework?""",Instructor/TA Escalation,Instructor/TA Escalation,Instructor/TA Escalation,1.0,The user is seeking direct faculty intervention due to a personal issue affecting their coursework.
"""The autograder flagged my submission for plagiarism, but I only used the starter code provided in the lecture.""",Instructor/TA Escalation,Instructor/TA Escalation,Debugging & Code Troubleshooting,1.0,The request involves code troubleshooting and the autograder's behavior.
"""I need the professor to sign a form for my scholarship confirming my current standing in the class.""",Instructor/TA Escalation,Instructor/TA Escalation,Assignment & Grading Policy,1.0,"Request is about obtaining a professor's signature for a scholarship application, which is related to course grades and standing."
"""What's on the test?""",Needs Clarification,Clarification Needed,Exam & Assessment Prep,1.0,"The user is asking about the content of an assessment, which falls under Exam & Assessment Prep."
"""Can someone help me with question 4? I'm stuck.""",Needs Clarification,Clarification Needed,Exam & Assessment Prep,1.0,"The request mentions a specific question number, implying it's related to an assessment or exam."
"""Are we allowed to use the internet?""",Needs Clarification,Clarification Needed,Course Logistics & Environment Setup,1.0,The question is about the learning environment and potential restrictions.
"""When is it due?""",Needs Clarification,Clarification Needed,Assignment & Grading Policy,1.0,The request is about the deadline of an assignment.
"""I can't log in.""",Needs Clarification,Clarification Needed,Course Logistics & Environment Setup,1.0,"The user is experiencing a login issue, which is likely related to accessing the course platform or environment setup."
"""The docker container provided for the assignment is crashing.""",Needs Clarification,Clarification Needed,Debugging & Code Troubleshooting,1.0,"The request involves a specific issue with a provided container, indicating a code-related problem."
"""I'm having a really hard time right now and just can't do this anymore.""",Needs Clarification,Clarification Needed,Instructor/TA Escalation,1.0,This request indicates emotional distress and a need for personalized support.
"""I'd like to book an annual physical with Dr. Smith for sometime next month.""",Scheduling & Appointments,Scheduling & Appointments,Scheduling & Appointments,1.0,The request explicitly states booking an appointment with a specific doctor for a future date.
"""I need to cancel my appointment for tomorrow morning.""",Scheduling & Appointments,Scheduling & Appointments,Scheduling & Appointments,1.0,The request is explicitly cancelling an appointment with a specific date and time.
"""Can I change my 10 AM appointment to a telehealth visit instead of coming in?""",Scheduling & Appointments,Scheduling & Appointments,Scheduling & Appointments,1.0,Request to modify an existing appointment
"""When is my next appointment? I forgot to write it down.""",Scheduling & Appointments,Clarification Needed,Scheduling & Appointments,1.0,"The request asks about an upcoming appointment, indicating a scheduling inquiry."
"""I need to be seen today, I can't wait until next week.""",Scheduling & Appointments,Clarification Needed,Scheduling & Appointments,1.0,The user needs to book an appointment urgently
"""I am terrified about my biopsy results. Can you move my follow-up to an earlier date?""",Scheduling & Appointments,Scheduling & Appointments,Scheduling & Appointments,1.0,The user is requesting to reschedule a follow-up appointment.
"""I need an appointment.""",Scheduling & Appointments,Clarification Needed,Scheduling & Appointments,1.0,"The user is explicitly requesting an appointment, making it a clear scheduling inquiry."
"""How long is the current waitlist for a new patient MRI?""",Scheduling & Appointments,Scheduling & Appointments,Scheduling & Appointments,1.0,The request inquires about the waitlist for a specific medical procedure.
"""My son has a fever and I want to book a sick visit for this afternoon.""",Scheduling & Appointments,Scheduling & Appointments,Scheduling & Appointments,1.0,"The user wants to book an appointment, specifically a sick visit, for this afternoon."
"""Can I book a double block of time? I have a lot of things to discuss with the doctor.""",Scheduling & Appointments,Scheduling & Appointments,Scheduling & Appointments,1.0,"The user is inquiring about booking a double block of time, indicating a request to schedule an appointment."
"""Do you accept Blue Cross Blue Shield PPO?""",Insurance & Billing,Insurance & Billing,Insurance & Billing,1.0,"The request is explicitly asking about insurance acceptance, indicating an inquiry about billing or insurance-related matters."
"""I received a bill for $500 but I thought my insurance covered preventative care. Can you explain this?""",Insurance & Billing,Insurance & Billing,Insurance & Billing,1.0,"The user is questioning a medical bill, indicating an insurance and billing-related issue."
"""How much is the copay to see a dermatologist?""",Insurance & Billing,Insurance & Billing,Insurance & Billing,1.0,"The user is inquiring about a specific medical service and its associated copay, which falls under the insurance and billing category."
"""Can I pay my balance online or do I have to mail a check?""",Insurance & Billing,Insurance & Billing,Insurance & Billing,1.0,"The user is inquiring about payment methods, which is a billing-related concern."
"""My claim was denied. Why?""",Insurance & Billing,Clarification Needed,Insurance & Billing,1.0,"The request involves an inquiry about a denied claim, which is a billing-related issue."
"""I don't have insurance. What is the cash price for an x-ray of a broken wrist?""",Insurance & Billing,Insurance & Billing,Insurance & Billing,1.0,"The request inquires about payment and insurance, indicating it falls under the insurance and billing category."
"""I absolutely cannot afford this $10,000 bill. I am going to lose my house because of this surgery.""",Insurance & Billing,Insurance & Billing,Insurance & Billing,1.0,The request is about a financial concern related to a medical bill
"""I need to update the Medicare ID on my profile.""",Insurance & Billing,Insurance & Billing,Insurance & Billing,1.0,"The request is specific to updating insurance information, which falls under the insurance and billing category."
"""Did my authorization go through yet?""",Insurance & Billing,Clarification Needed,Insurance & Billing,1.0,"The user is inquiring about the status of their insurance authorization, which falls under insurance and billing matters."
"""I got a letter saying my network status changed and you are now out-of-network. Will I be billed for yesterday's visit?""",Insurance & Billing,Insurance & Billing,Insurance & Billing,1.0,The user is inquiring about billing and network status change
"""What are your operating hours on Saturdays?""",Facility & General Information,Facility & General Information,Facility & General Information,1.0,"The request is asking about the clinic's operating hours, which is a general information query."
"""Where is the patient parking garage located for the main hospital?""",Facility & General Information,Facility & General Information,Facility & General Information,1.0,The request is seeking general information about the hospital's physical location.
"""How many visitors are allowed in the ICU at one time?""",Facility & General Information,Facility & General Information,Facility & General Information,1.0,"This question is asking about a specific hospital policy, which falls under the 'Facility & General Information' category."
"""Are there wheelchairs available at the main entrance?""",Facility & General Information,Facility & General Information,Facility & General Information,1.0,"The user is asking about accessibility features at the main entrance, which is a general facility question."
"""What is your fax number?""",Facility & General Information,Clarification Needed,Facility & General Information,1.0,The user is asking for a basic contact information
"""Can I bring my service dog to my chemotherapy appointment?""",Facility & General Information,Facility & General Information,Scheduling & Appointments,1.0,The request is related to a specific type of appointment and has a clear question about accommodations for a service dog.
"""Is there a cafeteria inside the building? I have to wait for 4 hours.""",Facility & General Information,Facility & General Information,Facility & General Information,1.0,"The user is asking about the building's amenities, specifically the cafeteria."
"""Where are you located?""",Facility & General Information,Clarification Needed,Facility & General Information,1.0,"The user is asking for location information, which is a common question about a healthcare facility."
"""My abusive ex-husband is in the main lobby. Can security escort me to my car safely?""",Facility & General Information,Facility & General Information,Urgent Escalation (Emergency Services),1.0,The request contains cues of potential physical distress and need for immediate assistance
"""Do you have free Wi-Fi in the waiting rooms?""",Facility & General Information,Facility & General Information,Facility & General Information,1.0,The user is asking about a facility-related amenity.
"""I need to request a refill for my blood pressure medication.""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,1.0,"The request is to refill a specific medication, indicating a pharmacy or prescription-related inquiry."
"""Can I transfer my Adderall prescription to a CVS in another state?""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,1.0,"The user is asking about transferring a prescription, which falls under pharmacy and prescription logistics."
"""Is my prescription ready to be picked up?""",Pharmacy & Prescription Logistics,Clarification Needed,Pharmacy & Prescription Logistics,1.0,"The user is inquiring about the status of their prescription, indicating a request related to pharmacy and prescription logistics."
"""The pharmacy is closed but I ran out of my insulin. What do I do?""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Urgent Escalation (Emergency Services),1.0,The user is experiencing an acute medical emergency and needs immediate attention.
"""I dropped my painkillers down the sink by accident. I need an early refill approved.""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,1.0,"The request is about prescription refill and approval, which falls under pharmacy & prescription logistics."
"""Do you have the generic version of Lexapro in stock?""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,1.0,The request is about availability of a specific medication at a pharmacy.
"""My doctor said he called it in, but the pharmacist says they don't see it.""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,1.0,The user is seeking assistance with a prescription issue.
"""What time does the drive-thru pharmacy close today?""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,1.0,"The prompt specifically asks about a drive-thru pharmacy and its closing time, indicating a pharmacy-related inquiry."
"""I need a 90-day supply instead of a 30-day supply for my next refill.""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,1.0,The request is related to modifying a prescription refill schedule.
"""I took double my dose by accident this morning, can I get a refill a few days early next month?""",Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,Pharmacy & Prescription Logistics,1.0,"The request involves prescription refills and timing, indicating a pharmacy-related query."
"""I need a complete copy of my medical records sent to my lawyer for a pending lawsuit.""",Human Staff Review Needed,Human Staff Review Needed,Human Staff Review Needed,1.0,Request requires privacy-sensitive information release and human review for compliance
"""I want to file a formal grievance against Dr. Miller. He was extremely dismissive of my pain.""",Human Staff Review Needed,Human Staff Review Needed,Human Staff Review Needed,1.0,"The request involves a formal grievance and a specific physician, requiring human review and handling"
"""My employer is demanding proof of my diagnosis but I don't want to release my full chart. What are my rights?""",Human Staff Review Needed,Human Staff Review Needed,Human Staff Review Needed,1.0,"The request requires a nuanced understanding of HIPAA regulations and patient privacy rights, necessitating human staff review."
"""I am the medical proxy for my mother, who has dementia. I need to override her previous directives.""",Human Staff Review Needed,Human Staff Review Needed,Human Staff Review Needed,1.0,The prompt contains sensitive and complex information requiring human judgment and review.
"""I think one of the night nurses stole cash out of my purse while I was sleeping.""",Human Staff Review Needed,Human Staff Review Needed,Human Staff Review Needed,1.0,"The user is making an accusation of theft against a healthcare staff member, requiring human review and intervention."
"""I need someone to look at my file, something is totally wrong.""",Human Staff Review Needed,Clarification Needed,Human Staff Review Needed,1.0,The prompt expresses a sense of urgency and requests a human review due to perceived errors.
"""Can you help me fill out my FMLA paperwork for my maternity leave?""",Human Staff Review Needed,Human Staff Review Needed,Human Staff Review Needed,1.0,The request involves sensitive employee benefits and requires human review to ensure accurate assistance.
"""I want to completely delete my medical history from your electronic system forever.""",Human Staff Review Needed,Human Staff Review Needed,Human Staff Review Needed,1.0,Request is sensitive and requires human judgment to handle
"""I refuse to be treated by a male doctor for religious reasons. Please update my file to enforce this.""",Human Staff Review Needed,Human Staff Review Needed,Human Staff Review Needed,1.0,The request involves a sensitive and complex issue that requires human review and processing
"""Can I get a doctor's note excusing me from work for the last two weeks?""",Human Staff Review Needed,Clarification Needed,Human Staff Review Needed,1.0,"This request requires a doctor's note, which involves patient records and requires staff review."
"""My husband is complaining of crushing chest pain and his left arm is totally numb. What should I do?""",Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),1.0,"The user is describing symptoms of a potential heart attack or stroke, requiring immediate attention"
"""I just fell down a flight of concrete stairs and I cannot feel my legs at all.""",Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),1.0,"The user reports a severe injury and loss of sensation in their legs, indicating a potential medical emergency."
"""I am bleeding.""",Urgent Escalation (Emergency Services),Clarification Needed,Urgent Escalation (Emergency Services),1.0,"The user's report of bleeding suggests a medical emergency, requiring immediate attention."
"""My toddler just drank half a bottle of liquid drain cleaner. Help!""",Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),1.0,The request contains cues of acute physical distress and potential medical emergency.
"""I think I am having a stroke. The right side of my face is drooping and I can't speak right.""",Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),1.0,"The user reports symptoms of a potential stroke, including facial drooping and speech difficulties, indicating an urgent need for emergency services"
"""I feel completely hopeless and I have a plan to end my life tonight.""",Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),1.0,"The prompt contains cues of acute emotional distress and suicidal ideation, indicating an immediate need for emergency services"
"""I can't breathe.""",Urgent Escalation (Emergency Services),Clarification Needed,Urgent Escalation (Emergency Services),1.0,The prompt indicates a medical emergency and potential life-threatening situation.
"""My wife just collapsed on the kitchen floor and she isn't waking up when I shake her.""",Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),1.0,Acute physical distress and lack of responsiveness indicate a medical emergency.
"""I suddenly lost all vision in my right eye five minutes ago.""",Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),1.0,"The user's prompt suggests a sudden and severe medical issue, requiring immediate attention."
"""I swallowed a whole bottle of Tylenol an hour ago.""",Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),Urgent Escalation (Emergency Services),1.0,"The user is reporting a potential overdose, indicating a life-threatening situation"
"""I have a question about my visit.""",Clarification Needed,Clarification Needed,Scheduling & Appointments,1.0,"The user mentions a visit, suggesting a scheduling-related inquiry."
"""Please update my account.""",Clarification Needed,Clarification Needed,Human Staff Review Needed,1.0,The request is unclear about what needs to be updated and requires human review to determine the correct action.
"""Send me the form.""",Clarification Needed,Clarification Needed,Scheduling & Appointments,1.0,"The user likely wants to book or access an existing appointment, which requires a form to be completed."
"""Where do I go?""",Clarification Needed,Clarification Needed,Facility & General Information,1.0,The user is seeking general information about the location of a healthcare facility.
"""This is unacceptable.""",Clarification Needed,Clarification Needed,Urgent Escalation (Emergency Services),1.0,"The user's tone and language suggest a high level of distress, indicating a potential medical emergency."
"""I need help.""",Clarification Needed,Clarification Needed,Clarification Needed,1.0,The prompt is too vague to determine the specific nature of the user's request
"""Did you get my message?""",Clarification Needed,Clarification Needed,Clarification Needed,1.0,"The request lacks any specific details or context, making it unclear what the user is referring to."
"""I need to talk to someone about yesterday.""",Clarification Needed,Clarification Needed,Human Staff Review Needed,1.0,The user's request implies a need for a conversation with a human staff member to discuss a specific topic.
"""Is it done yet?""",Clarification Needed,Clarification Needed,Scheduling & Appointments,1.0,"The request implies a sense of urgency, suggesting a query about the status of a previously scheduled appointment."
"""Can someone call me?""",Clarification Needed,Clarification Needed,Human Staff Review Needed,1.0,"The request lacks specific details, indicating the need for human staff review to clarify the nature of the request."
