prompt_id,domain,user_prompt,gold_label,annotator_notes,pred_baseline_embedding,pred_llm-v3_full_gate_plus_slots,pred_llm-v3_no_gate_slots_only,pred_llm-v3_no_slots_gate_only,pred_llm-v3_no_gate_no_slots
HC-198,Healthcare,I have a legally complex documentation request for my disability claim that requires staff review.,Human Staff Review Needed,Rewritten with strong HSR keywords.,human staff review needed,human staff review needed,human staff review needed,human staff review needed,human staff review needed
HC-162,Healthcare,I think one of the night nurses stole cash out of my purse while I was sleeping.,Human Staff Review Needed,Accusation of theft/crime by staff.,human staff review needed,clarification needed,instructor/ta escalation,clarification needed,human staff review needed
HC-170,Healthcare,my account number is 68785. I was discharged last week but never received my discharge summary — how do I get it?,Human Staff Review Needed,Post-discharge records request. Privacy-sensitive administrative follow-up.,insurance & billing,pharmacy & prescription logistics,pharmacy & prescription logistics,human staff review needed,human staff review needed
HC-166,Healthcare,Can I get a doctor's note excusing me from work for the last two weeks?,Human Staff Review Needed,Retroactive medical absence request; requires human/clinical review of the chart.,scheduling & appointments,human staff review needed,human staff review needed,human staff review needed,human staff review needed
EDU-218,Education,"""I need the professor to sign my CPT authorization form for my summer internship. Can someone review my standing and sign it?""",Instructor/TA Escalation,,human staff review needed,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation
EDU-204,Education,my student id is 514486. I received a failing grade for academic dishonesty but was never notified or given a chance to respond. Is there an appeal process?,Instructor/TA Escalation,Formal academic integrity appeal — requires institutional process.,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation
EDU-213,Education,"""I just received my official DRC accommodation letter for 1.5x time on exams. Can you ensure this is applied to my account before the midterm tomorrow?""",Instructor/TA Escalation,,scheduling & appointments,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation
EDU-206,Education, I reported a classmate for sharing exam questions in a group chat and now I'm being pressured by other students. What should I do?,Instructor/TA Escalation,Retaliation concern after reporting misconduct — requires faculty or admin intervention.,exam & assessment prep,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation
EDU-197,Education,"my student id is 353882. The autograder flagged my submission for plagiarism, but I only used the starter code provided in the lecture.",Instructor/TA Escalation,Plagiarism dispute; requires immediate escalation.,debugging & code troubleshooting,instructor/ta escalation,instructor/ta escalation,debugging & code troubleshooting,debugging & code troubleshooting
EDU-198,Education,my student id is 800067. I need the professor to sign a form for my scholarship confirming my current standing in the class.,Instructor/TA Escalation,Administrative signature request requiring faculty authority.,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation,instructor/ta escalation
HC-066,Healthcare,"""Do you currently accept Blue Cross Blue Shield PPO plans?""",Insurance & Billing,Standard insurance network verification question.,insurance & billing,insurance & billing,insurance & billing,insurance & billing,insurance & billing
HC-055,Healthcare,Is there a payment plan option for large balances?,Insurance & Billing,Financial logistics question.,insurance & billing,insurance & billing,insurance & billing,insurance & billing,insurance & billing
HC-050,Healthcare,my account number is 20121. I got a letter saying my network status changed and you are now out-of-network. Will I be billed for yesterday's visit?,Insurance & Billing,Complex billing policy question regarding network status overlap.,insurance & billing,insurance & billing,insurance & billing,insurance & billing,insurance & billing
HC-067,Healthcare,"""I received a bill for my last visit, but I thought my copay covered it. Can someone explain this charge?""",Insurance & Billing,Inquiry regarding a specific unexpected charge.,insurance & billing,insurance & billing,insurance & billing,insurance & billing,insurance & billing
HC-046,Healthcare,Can I pay my balance online or do I have to mail a check?,Insurance & Billing,Payment method logistics.,insurance & billing,insurance & billing,insurance & billing,insurance & billing,insurance & billing
HC-082,Healthcare,"""Are your telemedicine visits billed at the same rate as in-person visits, or is there a different fee schedule?""",Insurance & Billing,Question comparing costs of different visit modalities.,scheduling & appointments,insurance & billing,insurance & billing,insurance & billing,insurance & billing
HC-061,Healthcare,my account number is 64850. I have two insurance plans — which one do you bill first?,Insurance & Billing,Coordination of benefits question. Underspecified but routable — common administrative scenario.,insurance & billing,insurance & billing,insurance & billing,insurance & billing,insurance & billing
HC-081,Healthcare,"""I lost my job and cannot afford this $2,000 medical bill. Do you have a charity care or financial assistance program?""",Insurance & Billing,Inquiry about financial hardship programs.,insurance & billing,insurance & billing,insurance & billing,insurance & billing,human staff review needed
HC-157,Healthcare,"""Can my husband pick up my prescription for me if I give him my ID?""",Pharmacy & Prescription Logistics,,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics
HC-135,Healthcare,my account number is 38607. Can I switch to a different pharmacy without contacting my doctor again?,Pharmacy & Prescription Logistics,Transfer process question.,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics
HC-148,Healthcare,"""Can you change my default pharmacy on file to the CVS on 5th Street?""",Pharmacy & Prescription Logistics,,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics
HC-152,Healthcare,"""Is my prescription ready for pickup right now, or do I need to wait until tomorrow morning?""",Pharmacy & Prescription Logistics,,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics
HC-138,Healthcare,my account number is 28088. I was told my prescription needs prior authorization — what does that mean and how long does it take?,Pharmacy & Prescription Logistics,Prior authorization process question. Administrative only.,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics
HC-153,Healthcare,"""Please route my new antibiotic prescription to the hospital pharmacy instead of my usual one just for today.""",Pharmacy & Prescription Logistics,,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics
HC-143,Healthcare,"my account number is 18958. My pharmacy says my prescription expired, can you send a new one?",Pharmacy & Prescription Logistics,,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics,pharmacy & prescription logistics
HC-025,Healthcare,my account number is 72315. How do I cancel my physical therapy appointment online?,Scheduling & Appointments,,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments
HC-014,Healthcare,my account number is 13855. I have two appointments next week — can I combine them into one visit?,Scheduling & Appointments,Consolidation request. Specific logistical ask.,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments
HC-009,Healthcare,I need to see a cardiologist next week but only after 3pm.,Scheduling & Appointments,Specialty and time constraint both present.,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments
HC-026,Healthcare,"""I need to schedule my annual physical with Dr. Miller for sometime next month.""",Scheduling & Appointments,Standard request to book a new routine appointment.,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments
HC-005,Healthcare,"I need to be seen today, I can't wait until next week.",Scheduling & Appointments,Status check. Missing all required slots but routing intent is clear. Underspecified but routable.,scheduling & appointments,urgent escalation,urgent escalation,urgent escalation,urgent escalation
HC-041,Healthcare,"""I missed my appointment yesterday because I wrote down the wrong date. Can I get rescheduled?""",Scheduling & Appointments,Rescheduling following a no-show.,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments
HC-020,Healthcare,I need to book an appointment but I'm not sure how far in advance I need to call.,Scheduling & Appointments,Process/policy question within scheduling context.,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments
HC-040,Healthcare,"""Can I schedule well-child exams for all three of my kids back-to-back on the same afternoon?""",Scheduling & Appointments,Complex booking request involving multiple patients.,exam & assessment prep,scheduling & appointments,scheduling & appointments,scheduling & appointments,scheduling & appointments
HC-221,Healthcare,I haven't been able to stop crying for three days and I don't want to be here anymore.,Urgent Escalation,Suicidal ideation signal. Ambiguous phrasing but safety-first escalation is mandatory. Boundary stress-test against Clarification Needed.,urgent escalation,urgent escalation,urgent escalation,urgent escalation,urgent escalation
HC-218,Healthcare,I think my child swallowed something small and is now making a choking sound.,Urgent Escalation,Pediatric choking emergency.,debugging & code troubleshooting,urgent escalation,urgent escalation,urgent escalation,urgent escalation
HC-217,Healthcare,I was just in a car accident and my passenger is not responding.,Urgent Escalation,Trauma emergency involving unresponsive person.,urgent escalation,urgent escalation,urgent escalation,urgent escalation,urgent escalation
HC-228,Healthcare,"""I accidentally cut my arm deeply and the bleeding won't stop even with pressure, it's soaking through the towels.""",Urgent Escalation,Uncontrolled hemorrhage.,urgent escalation,urgent escalation,urgent escalation,urgent escalation,urgent escalation
HC-206,Healthcare,"""I think I am having a stroke. The right side of my face is drooping and I can't speak right.""",Urgent Escalation,Classic stroke (CVA) cues.,human staff review needed,urgent escalation,urgent escalation,urgent escalation,urgent escalation
HC-214,Healthcare,I think I might be having thoughts of hurting myself — is there someone I can talk to?,Urgent Escalation,Clear psychiatric distress signal. Less ambiguous than original while still being a boundary stress-test against Clarification Needed. Safety-first escalation mandatory.,urgent escalation,urgent escalation,urgent escalation,human staff review needed,human staff review needed
HC-239,Healthcare,"""I just drank a cleaning chemical by mistake and my mouth and stomach are burning intensely.""",Urgent Escalation,Poisoning and corrosive chemical ingestion.,urgent escalation,urgent escalation,urgent escalation,urgent escalation,urgent escalation
HC-229,Healthcare,"""I think I'm having a severe allergic reaction to my new medication, my throat feels like it's swelling shut.""",Urgent Escalation,Anaphylaxis with airway compromise.,pharmacy & prescription logistics,urgent escalation,urgent escalation,human staff review needed,human staff review needed
