prompt_id,domain,user_prompt,gold_label,is_ambiguous_gold,predicted_label,confidence_level,needs_clarification_pred,short_reason
HC-016,healthcare,"""I don't have insurance. What is the cash price for an x-ray of a broken wrist?""",Insurance & Billing,False,Billing & Insurance,0.9,False,"The user is asking about payment options and costs, which falls under billing and insurance."
HC-017,healthcare,"""I absolutely cannot afford this $10,000 bill. I am going to lose my house because of this surgery.""",Insurance & Billing,False,Billing & Insurance,0.8,False,The user is concerned about the financial impact of a medical bill and is seeking help or guidance.
HC-018,healthcare,"""I need to update the Medicare ID on my profile.""",Insurance & Billing,False,Billing & Insurance,0.9,False,The request involves updating personal information related to insurance coverage.
HC-019,healthcare,"""Did my authorization go through yet?""",Insurance & Billing,True,Billing & Insurance,0.9,False,"The user is inquiring about the status of their insurance authorization, which is typically handled by the billing department."
HC-020,healthcare,"""I got a letter saying my network status changed and you are now out-of-network. Will I be billed for yesterday's visit?""",Insurance & Billing,False,Billing & Insurance,0.9,False,The user is inquiring about billing and insurance due to a network status change.
HC-021,healthcare,"""What are your operating hours on Saturdays?""",Facility & General Information,False,Patient Administrative Support,0.9,False,"The user is asking about a facility's operational hours, which falls under administrative support."
HC-022,healthcare,"""Where is the patient parking garage located for the main hospital?""",Facility & General Information,False,Patient Administrative Support,0.95,False,"The user is asking about a non-medical, logistical inquiry about parking."
HC-023,healthcare,"""How many visitors are allowed in the ICU at one time?""",Facility & General Information,False,Patient Administrative Support,0.8,False,This question is about hospital policy and administrative details.
HC-024,healthcare,"""Are there wheelchairs available at the main entrance?""",Facility & General Information,False,Patient Administrative Support,0.9,False,The user is asking about a physical accessibility aspect related to patient care.
HC-025,healthcare,"""What is your fax number?""",Facility & General Information,True,Patient Administrative Support,0.95,False,The request appears to be seeking non-clinical administrative information.
HC-026,healthcare,"""Can I bring my service dog to my chemotherapy appointment?""",Facility & General Information,False,Appointments & Care Access,0.95,False,The request is related to a specific medical appointment and access requirements.
HC-027,healthcare,"""Is there a cafeteria inside the building? I have to wait for 4 hours.""",Facility & General Information,False,Patient Administrative Support,0.9,False,The request is about a facility-related inquiry that requires staff assistance.
HC-028,healthcare,"""Where are you located?""",Facility & General Information,True,Emergency Services,0.9,False,The user is asking for information about a physical location.
HC-029,healthcare,"""My abusive ex-husband is in the main lobby. Can security escort me to my car safely?""",Facility & General Information,False,Patient Administrative Support,0.9,False,The user is seeking assistance with a sensitive situation and requires staff support.
HC-030,healthcare,"""Do you have free Wi-Fi in the waiting rooms?""",Facility & General Information,False,Patient Administrative Support,0.9,False,"The user is asking about a non-clinical aspect of patient care, namely technical infrastructure."
HC-031,healthcare,"""I need to request a refill for my blood pressure medication.""",Pharmacy & Prescription Logistics,False,Appointments & Care Access,0.9,False,The user is requesting a specific medical service (refill) that requires scheduling or access.
HC-032,healthcare,"""Can I transfer my Adderall prescription to a CVS in another state?""",Pharmacy & Prescription Logistics,False,Patient Administrative Support,0.95,False,"This request is about logistics and prescription management, which falls under patient administrative support."
HC-033,healthcare,"""Is my prescription ready to be picked up?""",Pharmacy & Prescription Logistics,True,Patient Administrative Support,0.95,False,"The user is inquiring about a specific administrative task, likely related to their medical care."
HC-034,healthcare,"""The pharmacy is closed but I ran out of my insulin. What do I do?""",Pharmacy & Prescription Logistics,False,Emergency Services,0.8,False,"The user's request indicates a sudden need for assistance due to running out of medication, which requires immediate support."
HC-035,healthcare,"""I dropped my painkillers down the sink by accident. I need an early refill approved.""",Pharmacy & Prescription Logistics,False,Appointments & Care Access,0.8,False,"The user is seeking to refill medication and needs a prompt approval, indicating a request for medical care access."
HC-036,healthcare,"""Do you have the generic version of Lexapro in stock?""",Pharmacy & Prescription Logistics,False,Appointments & Care Access,0.9,False,"This question appears to be related to medication availability, which is a common concern for patients seeking care."
