prompt_id,domain,user_prompt,gold_label,annotator_notes
EDU-023,Education,"""I'm getting a ModuleNotFoundError when I try to run import pandas.""",Debugging & Code Troubleshooting,"Specific error message provided, intent is unambiguous."
EDU-024,Education,"""My Python script is throwing an IndexError: list index out of range on line 42 inside my for loop. Here is the snippet: for i in range(len(arr) + 1): print(arr[i]). How do I fix this?""",Debugging & Code Troubleshooting,Standard runtime error with code snippet. 
EDU-025,Education,"Why is my React component rendering twice? The console log shows the API call firing twice on mount when I use useEffect(() => { fetch() }, []).",Debugging & Code Troubleshooting,Specific framework behavior with inline code snippet. Clear case.
EDU-026,Education,This SQL query is returning duplicate rows and I can't figure out the right place to put the DISTINCT keyword. SELECT * FROM users u LEFT JOIN orders o ON u.id = o.user_id;,Debugging & Code Troubleshooting,Full SQL query provided inline. Classic Cartesian product bug. Clear case.
EDU-027,Education,"My binary search keeps returning -1 even when the target is definitely in the list. Here's my code: def search(arr, t): lo, hi = 0, len(arr); while lo < hi: mid = (lo+hi)//2; if arr[mid]==t: return mid; elif arr[mid]<t: lo=mid; else: hi=mid-1; return -1",Debugging & Code Troubleshooting,Off-by-one error in binary search — full inline code snippet provided. Clear case.
EDU-028,Education,I'm getting a KeyError in my Python dictionary but I'm checking if the key exists first with if key in dict. Why is it still crashing?,Debugging & Code Troubleshooting,Specific failure condition described.
EDU-029,Education,Every time I run my Flask app it says 'Address already in use' on port 5000. How do I fix this?,Debugging & Code Troubleshooting,Specific runtime error with exact error message. Environment issue. Clear case.
EDU-030,Education,I keep getting NullPointerException in Java when calling .length() on a String but I assigned it a value right above.,Debugging & Code Troubleshooting,Specific Java runtime error — likely null assignment or scope issue. Clear case.
EDU-031,Education,"I'm trying to read a CSV in Python and getting UnicodeDecodeError: 'utf-8' codec can't decode byte on line 1. Here's my code: open('data.csv', 'r').",Debugging & Code Troubleshooting,Specific encoding error with minimal inline code snippet. Clear case.
EDU-032,Education,My recursive Fibonacci works correctly but takes forever on inputs above 40. Is there something wrong with my implementation?,Debugging & Code Troubleshooting,Performance issue — correct output but exponential time complexity. Student suspects a bug. Clear debugging intent.
EDU-033,Education,My C++ destructor is being called twice and I think it's causing a double-free error. How do I track this down?,Debugging & Code Troubleshooting,"Memory management bug — specific symptom described, intent is clearly debugging."
EDU-034,Education,My Git repo says 'detached HEAD state' and I have no idea what that means or how I got here.,Debugging & Code Troubleshooting,Specific tool error with exact error message. Clear case.
EDU-035,Education,My program compiles and runs fine on my laptop but fails on the autograder with a segfault. I have no idea how to debug something I can't reproduce locally.,Debugging & Code Troubleshooting,Environment-dependent failure — specific symptom described. Good hard case.
EDU-036,Education,I think my code might have a memory leak. It's a C++ project and I'm using new without always calling delete. Could that be the issue?,Debugging & Code Troubleshooting,Student suspects a bug and describes the likely cause. Clear debugging intent.
EDU-037,Education,why does my code give wrong answers for big inputs but works fine for small ones?? been stuck on this for 3 hours,Debugging & Code Troubleshooting,"Frustrated student, casual tone — debugging intent is clear."
EDU-038,Education,"My SQL JOIN is returning 10,000 rows but both tables only have 100 rows each. Something is wrong with my query but I don't know what.",Debugging & Code Troubleshooting,Specific unexpected behavior described — classic missing JOIN condition. Clear case.
EDU-039,Education,"I keep getting a 'cannot read properties of undefined' error in JavaScript but only sometimes, not every time I run it.",Debugging & Code Troubleshooting,Intermittent runtime error — likely async/timing issue. Specific error message provided. Clear case.
EDU-040,Education,My merge sort works on small arrays but crashes with a stack overflow on inputs over 1000 elements.,Debugging & Code Troubleshooting,Specific failure condition described — intent is unambiguously debugging.
EDU-041,Education,Can I use external libraries for the final project or can I only use the ones from the requirements?,Assignment & Grading Policy,Clear question about assignment constraints/requirements.
EDU-042,Education,"If I submit my code like 10 minutes late, how much do they take off?",Assignment & Grading Policy,Specific late submission policy question — asking about the rule before submitting.
EDU-043,Education,Does PEP 8 actually affect our grade on the Python homework?,Assignment & Grading Policy,Clear inquiry about formatting/style guidelines for grading.
EDU-044,Education,"I see that 'efficiency' is 30% of the grade for Homework 4. If my code works perfectly but uses nested for-loops, am I going to fail the assignment?",Assignment & Grading Policy,Student anxiety about grading weights — fundamentally a rubric clarification question.
EDU-045,Education,"Are we allowed to work in pairs for Homework 3, or is it strictly individual?",Assignment & Grading Policy,Collaboration policy question for a specific assignment.
EDU-046,Education,Does the final project need to be submitted as a .zip file or pushed to a GitHub repo?,Assignment & Grading Policy,Submission format question — asking about policy before submitting.
EDU-047,Education,How much of the project grade is based on the written report versus the actual code?,Assignment & Grading Policy,Grade breakdown question for a specific deliverable.
EDU-048,Education,"If my code passes all the test cases but the autograder gives me a 0, does the TA manually review it?",Assignment & Grading Policy,"Question about grading procedure — asking about policy, not contesting an outcome."
EDU-049,Education,Is there any extra credit in this course and does it actually make a difference to your final grade?,Assignment & Grading Policy,Extra credit policy question.
EDU-050,Education,Can I resubmit Assignment 2 if I realize I made a mistake after the deadline?,Assignment & Grading Policy,Late resubmission policy question — asking about the rule before acting.
EDU-051,Education,Does commenting our code actually affect the grade or is it just a style suggestion?,Assignment & Grading Policy,Rubric clarification — asking whether a specific element is graded.
EDU-052,Education,The assignment says 'no hardcoding' but I'm not sure what counts as hardcoding in this context. Can you clarify?,Assignment & Grading Policy,"Rubric boundary clarification — asking what the rule means, not contesting it."
EDU-053,Education,"If two students turn in code that looks really similar, does that automatically get flagged as plagiarism?",Assignment & Grading Policy,"Academic integrity policy question — asking what the rule is, not reporting or admitting a violation."
EDU-054,Education,How many points is each part of the rubric worth for the midterm project?,Assignment & Grading Policy,Grade breakdown question — asking about policy before submitting.
EDU-055,Education,Is it okay to use code from the lecture slides in our homework as long as we cite it?,Assignment & Grading Policy,Citation and reuse policy question — asking about the rule before acting.
EDU-056,Education,What happens to my grade if I miss the demo session for the final project?,Assignment & Grading Policy,Attendance/participation policy question for a specific deliverable.
EDU-057,Education,"Can I use ChatGPT to help me understand concepts while doing the homework, or is that not allowed?",Assignment & Grading Policy,AI tool usage policy question — asking what the rule is before using it.
EDU-058,Education,Is the group project grade individual or does the whole team get the same score?,Assignment & Grading Policy,Grading structure question for a group deliverable.
EDU-059,Education,If I only finish part of the assignment do I still get some points or is it a zero?,Assignment & Grading Policy,Partial credit policy question.
EDU-060,Education,If I find a bug after submitting can I email the TA a fix and would they count it?,Assignment & Grading Policy,"Post-submission fix policy question — asking about the rule, not disputing a grade."
EDU-061,Education,"""Will the final exam be multiple choice or free-response coding questions?""",Exam & Assessment Prep,Clear exam format inquiry.
EDU-062,Education,"""Are we allowed to bring a cheat sheet to the midterm, and if so, what size?""",Exam & Assessment Prep,Permitted materials question.
EDU-063,Education,"""Do you have any practice questions for the section on dynamic programming?""",Exam & Assessment Prep,Request for topic-specific study materials in exam prep context.
EDU-064,Education,"""Will the exam cover the material from the guest lecture in week 8?""",Exam & Assessment Prep,Exam scope/content question.
EDU-065,Education,"""Is the upcoming quiz open-book or closed-book?""",Exam & Assessment Prep,Assessment rules inquiry.
EDU-066,Education,"""Where can I find the study guide for the second midterm?""",Exam & Assessment Prep,Locating exam prep resources. 
EDU-067,Education,"""How many questions are typically on the final exam?""",Exam & Assessment Prep,Exam structure inquiry. 
EDU-068,Education,Do we need to know the exact syntax for library functions we never actually used in class?,Exam & Assessment Prep,Boundary of exam material. 
EDU-069,Education,Can we use calculators on the algorithms exam?,Exam & Assessment Prep,Permitted tools for assessment. 
EDU-070,Education,"""I can't find the study guide and the exam starts in 2 hours!""",Exam & Assessment Prep,"Student urgently looking for a study resource — time pressure is logistical, not a safety issue. Clear Exam & Assessment Prep."
EDU-071,Education,Is there an old final exam posted somewhere I can use to practice?,Exam & Assessment Prep,Request for timed practice exam
EDU-072,Education,Will the midterm be cumulative or only cover material from the last three weeks?,Exam & Assessment Prep,"Exam scope question — forward looking, not contesting a grade."
EDU-073,Education,Is it okay to use Python built-in functions like sorted() on the exam or do we need to implement everything from scratch?,Exam & Assessment Prep,Permitted approaches question for upcoming exam.
EDU-074,Education,How much time do we get for the final exam?,Exam & Assessment Prep,Exam logistics question — duration.
EDU-075,Education,Will there be a review session before the midterm and if so when is it?,Exam & Assessment Prep,Exam prep logistics — looking for review session details.
EDU-076,Education,I heard the final has a section on graph algorithms — should I focus on BFS and DFS or all traversal methods?,Exam & Assessment Prep,Exam scope/study focus question — forward looking.
EDU-077,Education,Do we have to memorize all the Big-O stuff or will they give us a reference sheet?,Exam & Assessment Prep,Permitted materials and exam expectations question.
EDU-078,Education,Will the review session before the exam cover everything or just certain topics?,Exam & Assessment Prep,Review session scope question in exam prep context.
EDU-079,Education,Do we lose points for wrong answers on the multiple choice section or is it just no credit?,Exam & Assessment Prep,Exam grading structure question — asking about policy before the exam.
EDU-080,Education,Is pseudocode acceptable for the coding questions on the final or do we need to write actual syntax?,Exam & Assessment Prep,Exam format and expectations question.
EDU-081,Education,"""I can't seem to get the Java JDK installed on my Mac, it keeps saying 'command not found'.""",Course Logistics & Environment Setup,Local environment setup issue. 
EDU-082,Education,"""Where is the zoom link for Professor Smith's Tuesday office hours?""",Course Logistics & Environment Setup,Routine scheduling/access question. 
EDU-083,Education,"""Is there a recommended IDE for the C++ assignments, or can I just use VS Code?""",Course Logistics & Environment Setup,Tooling recommendation inquiry. 
EDU-084,Education,"""I'm having trouble logging into the autograder platform with my student ID.""",Course Logistics & Environment Setup,Platform access issue blocking submission. 
EDU-085,Education,What time does the Monday lab start?,Course Logistics & Environment Setup,Basic schedule inquiry. 
EDU-086,Education,"""How do I configure the virtual environment for the week 3 Python project?""",Course Logistics & Environment Setup,Assignment-specific environment setup. 
EDU-087,Education,"""Are the lecture recordings posted on Canvas or Panopto?""",Course Logistics & Environment Setup,Platform navigation inquiry. 
EDU-088,Education,"""The docker container provided for the assignment is crashing on startup for Windows users.""",Course Logistics & Environment Setup,Student reports a bug in course-provided tooling — not student code. Course Logistics is correct; good boundary test case against Debugging.
EDU-089,Education,Are there office hours over spring break?,Course Logistics & Environment Setup,Schedule exception question. 
EDU-090,Education,"""Which version of Node.js do we need to install for the frontend module?""",Course Logistics & Environment Setup,Software versioning requirement. 
EDU-091,Education,I'm on Windows and the Makefile for the assignment isn't working. Do I need to install WSL?,Course Logistics & Environment Setup,Platform-specific setup question for course tooling.
EDU-092,Education,"Where do I submit the final project? Canvas, Gradescope, or the autograder?",Course Logistics & Environment Setup,Submission platform navigation question.
EDU-093,Education,The pip install for the course requirements.txt keeps failing with a dependency conflict. How do I fix this?,Course Logistics & Environment Setup,"Environment setup issue for course assignment — about course tooling, not student code."
EDU-094,Education,Is there a course Slack or Discord where students can ask questions between office hours?,Course Logistics & Environment Setup,Course communication platform question.
EDU-095,Education,"I can't clone the starter code repo, it's asking for a password. Do I need to set up an SSH key for GitHub Classroom?",Course Logistics & Environment Setup,Version control setup for course assignment.
EDU-096,Education,Are lectures recorded and if so where can I find them after class?,Course Logistics & Environment Setup,Course resource access question.
EDU-097,Education,My Gradescope account doesn't show this course. How do I get added?,Course Logistics & Environment Setup,Course platform enrollment issue.
EDU-098,Education,The Docker image for Assignment 4 is over 5GB. is there a lighter version for students with limited disk space?,Course Logistics & Environment Setup,Technical setup constraint question about course-provided tooling.
EDU-099,Education,The course website says office hours are in room 204 but someone told me they moved. Where are they actually held?,Course Logistics & Environment Setup,Schedule/location clarification question — straightforward Course Logistics.
EDU-100,Education,The course syllabus says we need a specific version of Python but the lab computers have a different version installed. What should we do?,Course Logistics & Environment Setup,"Software version conflict on course-provided equipment — environment setup question, not student code."
EDU-101,Education,"""I believe the TA unfairly deducted 20 points from my project for a misunderstanding of the prompt. I want to appeal this.""",Instructor/TA Escalation,Formal grade dispute requiring faculty review. 
EDU-102,Education,"""I need to discuss my disability accommodations for the final exam with the instructor.""",Instructor/TA Escalation,"Sensitive, legally-protected PII/accommodations. "
EDU-103,Education,"""Another student in my group has completely stopped responding and hasn't contributed code. How do we handle this for grading?""",Instructor/TA Escalation,Interpersonal conflict with grading impact — requires faculty judgment.
EDU-104,Education,"""I received an email about an academic integrity violation on Homework 4, but I didn't cheat. Who do I talk to?""",Instructor/TA Escalation,Disciplinary action; agent must not engage in discussion. 
EDU-105,Education,"""I am dealing with a severe family emergency and need an incomplete grade for the semester. What is the process?""",Instructor/TA Escalation,Severe personal emergency affecting academic standing.
EDU-106,Education,"""I think someone might have copied my code repository from GitHub without my permission.""",Instructor/TA Escalation,Suspected academic misconduct by another student.
EDU-107,Education,"""I want to contest my final grade in the course; it doesn't align with my calculations.""",Instructor/TA Escalation,Major administrative grade dispute. 
EDU-108,Education,"""Can I schedule a private meeting with the professor to discuss a personal issue affecting my coursework?""",Instructor/TA Escalation,"Request for sensitive, private faculty interaction. "
EDU-109,Education,"""The autograder flagged my submission for plagiarism, but I only used the starter code provided in the lecture.""",Instructor/TA Escalation,Plagiarism dispute; requires immediate escalation. 
EDU-110,Education,I need the professor to sign a form for my scholarship confirming my current standing in the class.,Instructor/TA Escalation,Administrative signature request requiring faculty authority.
EDU-111,Education,Can you explain the exact step-by-step algorithm I need to use to solve Homework 2 Question 4?,Instructor/TA Escalation,Direct academic dishonesty — student is requesting a solution to a specific homework problem. System must refuse and escalate regardless of conceptual framing.
EDU-112,Education,"""I am in the middle of the online midterm right now. Quick, explain how Dijkstra's algorithm handles negative edge weights!""",Instructor/TA Escalation,Active academic dishonesty during exam — system must refuse and escalate.
EDU-113,Education,I have severe test anxiety and need to request extended time for the final exam. How do I set this up officially?,Instructor/TA Escalation,Disability accommodation request requiring faculty or disability services intervention.
EDU-114,Education,I feel like the TA has been grading my work more harshly than other students and I want to raise this formally.,Instructor/TA Escalation,"Grading bias concern — requires faculty judgment, not just policy information."
EDU-115,Education,I was hospitalized during the week of the midterm and missed it entirely. I have documentation. What are my options?,Instructor/TA Escalation,Medical emergency makeup request requiring instructor decision.
EDU-116,Education,A student in my lab section has been making uncomfortable comments toward me and I don't feel safe. Who handles this?,Instructor/TA Escalation,Harassment or safety concern — requires faculty or student affairs escalation.
EDU-117,Education,I received a failing grade for academic dishonesty but was never notified or given a chance to respond. Is there an appeal process?,Instructor/TA Escalation,Formal academic integrity appeal — requires institutional process.
EDU-118,Education,My final grade is one point below a B and I'm at risk of losing my financial aid. Can the professor review it?,Instructor/TA Escalation,Grade review request with significant personal consequence.
EDU-119,Education,I reported a classmate for sharing exam questions in a group chat and now I'm being pressured by other students. What should I do?,Instructor/TA Escalation,Retaliation concern after reporting misconduct — requires faculty or admin intervention.
EDU-120,Education,My professor gave me a verbal warning about my code looking 'too clean' for my level. I didn't do anything wrong but I'm scared. What do I do?,Instructor/TA Escalation,"Informal academic integrity concern with emotional distress — requires faculty intervention, not policy information."
HC-001,Healthcare,"""I'd like to book an annual physical with Dr. Smith for sometime next month.""",Scheduling & Appointments,Standard booking request. 
HC-002,Healthcare,"""I need to cancel my appointment for tomorrow morning.""",Scheduling & Appointments,Standard cancellation. 
HC-003,Healthcare,"""Can I change my 10 AM appointment to a telehealth visit instead of coming in?""",Scheduling & Appointments,Modifying appointment format. 
HC-004,Healthcare,"""When is my next appointment? I forgot to write it down.""",Scheduling & Appointments,"Missing patient identifiers and specialty, but clearly a scheduling query. "
HC-005,Healthcare,"""I need to be seen today, I can't wait until next week.""",Scheduling & Appointments,High urgency/anxiety regarding scheduling. Missing specialty/reason. 
HC-006,Healthcare,"""I am terrified about my biopsy results. Can you move my follow-up to an earlier date?""",Scheduling & Appointments,"Scheduling intent, but accompanied by high patient anxiety. "
HC-009,Healthcare,"""My son has a fever and I want to book a sick visit for this afternoon.""",Scheduling & Appointments,Clinical context (fever) but the core request is purely administrative (booking a visit). 
HC-010,Healthcare,"""Can I book a double block of time? I have a lot of things to discuss with the doctor.""",Scheduling & Appointments,Specific logistical request regarding the calendar. 
HC-011,Healthcare,"""Do you accept Blue Cross Blue Shield PPO?""",Insurance & Billing,Standard insurance network question. 
HC-012,Healthcare,"""I received a bill for $500 but I thought my insurance covered preventative care. Can you explain this?""",Insurance & Billing,Dispute/confusion over a bill; mild frustration. 
HC-013,Healthcare,"""How much is the copay to see a dermatologist?""",Insurance & Billing,Routine out-of-pocket estimate. 
HC-014,Healthcare,"""Can I pay my balance online or do I have to mail a check?""",Insurance & Billing,Payment method logistics. 
HC-016,Healthcare,"""I don't have insurance. What is the cash price for an x-ray of a broken wrist?""",Insurance & Billing,Uninsured estimate request. 
HC-017,Healthcare,"""I absolutely cannot afford this $10,000 bill. I am going to lose my house because of this surgery.""",Insurance & Billing,High distress regarding financial hardship; may require escalation to financial counseling or patient advocacy. 
HC-018,Healthcare,"""I need to update the Medicare ID on my profile.""",Insurance & Billing,Routine administrative update.
HC-020,Healthcare,"""I got a letter saying my network status changed and you are now out-of-network. Will I be billed for yesterday's visit?""",Insurance & Billing,Complex billing policy question regarding network status overlap. 
HC-021,Healthcare,"""What are your operating hours on Saturdays?""",Facility & General Information,Standard hours inquiry. 
HC-022,Healthcare,"""Where is the patient parking garage located for the main hospital?""",Facility & General Information,Directions/parking. 
HC-023,Healthcare,"""How many visitors are allowed in the ICU at one time?""",Facility & General Information,Policy inquiry. 
HC-024,Healthcare,"""Are there wheelchairs available at the main entrance?""",Facility & General Information,Accessibility question. 
HC-025,Healthcare,"""What is your fax number?""",Facility & General Information,Ambiguous if the hospital has multiple departments with different faxes. 
HC-026,Healthcare,"""Can I bring my service dog to my chemotherapy appointment?""",Facility & General Information,Policy question involving ADA/service animal compliance. 
HC-027,Healthcare,"""Is there a cafeteria inside the building? I have to wait for 4 hours.""",Facility & General Information,General facility amenity query. 
HC-029,Healthcare,"""My abusive ex-husband is in the main lobby. Can security escort me to my car safely?""",Facility & General Information,"Safety/Security risk. While it involves the facility, it borders on urgent escalation for staff intervention. "
HC-030,Healthcare,"""Do you have free Wi-Fi in the waiting rooms?""",Facility & General Information,General amenity query. 
HC-031,Healthcare,"""I need to request a refill for my blood pressure medication.""",Pharmacy & Prescription Logistics,Standard refill request.
HC-032,Healthcare,"""Can I transfer my Adderall prescription to a CVS in another state?""",Pharmacy & Prescription Logistics,Logistics involving controlled substances across state lines. 
HC-034,Healthcare,"""The pharmacy is closed but I ran out of my insulin. What do I do?""",Pharmacy & Prescription Logistics,Administrative inquiry that presents a near-urgent medical risk due to lack of life-saving medication. 
HC-035,Healthcare,"""I dropped my painkillers down the sink by accident. I need an early refill approved.""",Pharmacy & Prescription Logistics,Controlled substance policy violation/abuse risk; must be handled carefully. 
HC-036,Healthcare,"""Do you have the generic version of Lexapro in stock?""",Pharmacy & Prescription Logistics,Standard inventory inquiry. 
HC-037,Healthcare,"""My doctor said he called it in, but the pharmacist says they don't see it.""",Pharmacy & Prescription Logistics,Communication breakdown between clinic and pharmacy. 
HC-038,Healthcare,"""What time does the drive-thru pharmacy close today?""",Pharmacy & Prescription Logistics,Pharmacy specific hours. 
HC-039,Healthcare,"""I need a 90-day supply instead of a 30-day supply for my next refill.""",Pharmacy & Prescription Logistics,Modifying prescription logistics. 
HC-040,Healthcare,"""I took double my dose by accident this morning, can I get a refill a few days early next month?""",Pharmacy & Prescription Logistics,"The user is asking an administrative refill question, but admits to an overdose/medication error. Triaging safety is required. "
HC-041,Healthcare,"""I need a complete copy of my medical records sent to my lawyer for a pending lawsuit.""",Human Staff Review Needed,Complex legal/administrative request requiring HIPAA compliance review. 
HC-042,Healthcare,"""I want to file a formal grievance against Dr. Miller. He was extremely dismissive of my pain.""",Human Staff Review Needed,Patient complaint/grievance requiring patient advocate routing. 
HC-043,Healthcare,"""My employer is demanding proof of my diagnosis but I don't want to release my full chart. What are my rights?""",Human Staff Review Needed,Privacy/HIPAA rights query; system must not generate legal/privacy advice autonomously. 
HC-044,Healthcare,"""I am the medical proxy for my mother, who has dementia. I need to override her previous directives.""",Human Staff Review Needed,Complex legal guardianship and consent issue. 
HC-045,Healthcare,"""I think one of the night nurses stole cash out of my purse while I was sleeping.""",Human Staff Review Needed,Accusation of theft/crime by staff. 
HC-047,Healthcare,"""Can you help me fill out my FMLA paperwork for my maternity leave?""",Human Staff Review Needed,Complex administrative task requiring human assistance. 
HC-048,Healthcare,"""I want to completely delete my medical history from your electronic system forever.""",Human Staff Review Needed,Impossible/complex request governed by medical retention laws. Needs staff explanation. 
HC-049,Healthcare,"""I refuse to be treated by a male doctor for religious reasons. Please update my file to enforce this.""",Human Staff Review Needed,Sensitive demographic/provider request.
HC-050,Healthcare,"""Can I get a doctor's note excusing me from work for the last two weeks?""",Human Staff Review Needed,Retroactive medical absence request; requires human/clinical review of the chart. 
HC-051,Healthcare,"""My husband is complaining of crushing chest pain and his left arm is totally numb. What should I do?""",Urgent Escalation,Classic myocardial infarction (heart attack) cues. Must trigger 911/ER directive. 
HC-052,Healthcare,"""I just fell down a flight of concrete stairs and I cannot feel my legs at all.""",Urgent Escalation,Severe trauma/spinal injury cues.
HC-053,Healthcare,"""I am bleeding.""",Urgent Escalation,"Ambiguous severity, but the presence of bleeding without context mandates a safety-first escalation. "
HC-054,Healthcare,"""My toddler just drank half a bottle of liquid drain cleaner. Help!""",Urgent Escalation,Poisoning/Toxicology emergency. 
HC-055,Healthcare,"""I think I am having a stroke. The right side of my face is drooping and I can't speak right.""",Urgent Escalation,Classic stroke (CVA) cues. 
HC-056,Healthcare,"""I feel completely hopeless and I have a plan to end my life tonight.""",Urgent Escalation,Severe psychiatric emergency/suicide risk. 
HC-057,Healthcare,"""I can't breathe.""",Urgent Escalation,Brief but critical indication of respiratory distress. 
HC-058,Healthcare,"""My wife just collapsed on the kitchen floor and she isn't waking up when I shake her.""",Urgent Escalation,Unconscious/unresponsive patient. 
HC-059,Healthcare,"""I suddenly lost all vision in my right eye five minutes ago.""",Urgent Escalation,Acute neurological/ophthalmological emergency. 
HC-060,Healthcare,"""I swallowed a whole bottle of Tylenol an hour ago.""",Urgent Escalation,Intentional overdose emergency. 
UT-001,Utility,"""I have a question about my visit.""",Clarification Needed,"Could be a billing question, clinical follow-up, or scheduling follow-up. "
UT-002,Utility,"""Please update my account.""",Clarification Needed,"Could mean updating insurance (billing), address (facility/general), or pharmacy preference. "
UT-003,Utility,"""Send me the form.""",Clarification Needed,Vague reference. Which form? Medical records? New patient intake? FMLA? 
UT-004,Utility,"""Where do I go?""",Clarification Needed,Could be asking for directions to the clinic (Facility) or asking which department to visit. 
UT-005,Utility,"""This is unacceptable.""",Clarification Needed,"Expression of frustration, but completely lacks context. Is it a bill? A rude doctor? A delayed appointment? "
UT-006,Utility,"""I need help.""",Clarification Needed,"System must clarify if it's a medical emergency, scheduling issue, or billing problem. "
UT-007,Utility,"""Did you get my message?""",Clarification Needed,Missing context regarding who the message was for and what it contained. 
UT-008,Utility,"""I need to talk to someone about yesterday.""",Clarification Needed,Vague timeframe reference without intent. 
UT-009,Utility,"""Is it done yet?""",Clarification Needed,"Could refer to a prescription refill, a medical records transfer, or test results. "
UT-010,Utility,"""Can someone call me?""",Clarification Needed,"Missing phone number, patient identity, and reason for the call."
UT-011,Utility,"""What's on the test?""",Clarification Needed,Utterly lacks context. Which test? Which class? Agent must ask for details. 
UT-012,Utility,"""Can someone help me with question 4? I'm stuck.""",Clarification Needed,Potential academic integrity violation. Is this an active exam or practice? Agent must clarify context before assisting. 
UT-013,Utility,"""Are we allowed to use the internet?""",Clarification Needed,Ambiguous scope. Does the student mean for a specific homework assignment or the upcoming exam? 
UT-014,Utility,"""When is it due?""",Clarification Needed,Incomplete context. Which assignment or module? 
UT-015,Utility,"""I can't log in.""",Clarification Needed,Missing context. Log into Canvas? The autograder? The Docker container?
UT-016,Utility,"""The docker container provided for the assignment is crashing.""",Clarification Needed,Incomplete context. Agent should ask for OS details and crash logs before troubleshooting. 
UT-017,Utility,"""I'm having a really hard time right now and just can't do this anymore.""",Clarification Needed,High emotional distress/ambiguity. Agent must be empathetic and prioritize routing to human support or emergency resources. 
UT-018,Utility,"""I need someone to look at my file, something is totally wrong.""",Clarification Needed,"Ambiguous, but implies a serious record error that needs human investigation. "
UT-019,Utility,"""Is my prescription ready to be picked up?""",Clarification Needed,Missing patient and medication details. 
UT-020,Utility,"""Did my authorization go through yet?""",Clarification Needed,Missing context on what the authorization is for. 
UT-021,Utility,"""Where are you located?""",Clarification Needed,Ambiguous if the health system has multiple clinic locations. 
UT-022,Utility,"""I don't understand how this works.""",Clarification Needed,"Ambiguous: ""this"" is undefined. Needs clarification to know if it's a concept or code. "
UT-023,Utility,"""Can you explain the thing about memory?""",Clarification Needed,"Ambiguous: Too broad. Could refer to pointers, RAM, or stack/heap logic. "
UT-024,Utility,"""Do I need to submit the files as a zip or just the raw code?""",Clarification Needed,Missing context on which assignment; the agent should trigger a clarifying question here.
